               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.022788,            0.044139,           0.0035658,             0.99351,             0.99944,               0.995,             0.86592,            0.013081,            0.038029,           0.0017308,           0.0090298,           0.0090298,           0.0090298
                  51,            0.020519,            0.044365,           0.0034571,             0.99849,             0.99924,               0.995,             0.81593,            0.014891,            0.038898,           0.0014848,             0.00901,             0.00901,             0.00901
                  52,            0.023017,            0.044212,           0.0033324,             0.99903,             0.99989,               0.995,             0.82287,            0.014824,            0.039001,           0.0014372,           0.0089902,           0.0089902,           0.0089902
                  53,            0.023276,            0.042177,           0.0035252,             0.99937,             0.99862,               0.995,             0.79398,            0.014899,            0.038818,           0.0014198,           0.0089704,           0.0089704,           0.0089704
                  54,             0.02306,            0.043832,           0.0032736,             0.99971,             0.99775,               0.995,             0.86489,            0.013698,            0.039333,            0.001598,           0.0089506,           0.0089506,           0.0089506
                  55,            0.020569,            0.042203,            0.003394,             0.99931,             0.99824,               0.995,             0.83894,            0.013806,            0.040455,             0.00158,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021417,            0.042796,           0.0029811,             0.99848,                   1,               0.995,             0.83149,            0.020336,            0.044022,           0.0011031,            0.008911,            0.008911,            0.008911
                  57,            0.024268,            0.045346,           0.0027902,             0.99494,             0.99933,               0.995,             0.82811,            0.015533,             0.03896,           0.0011694,           0.0088912,           0.0088912,           0.0088912
                  58,            0.023413,            0.043269,            0.003244,             0.99872,             0.99465,               0.995,             0.83566,            0.016121,            0.040054,            0.001503,           0.0088714,           0.0088714,           0.0088714
                  59,            0.022778,             0.04183,           0.0036532,             0.99815,             0.99934,               0.995,             0.79565,            0.018026,             0.04113,           0.0016005,           0.0088516,           0.0088516,           0.0088516
                  60,            0.022455,            0.040151,           0.0032587,             0.99935,             0.99816,               0.995,             0.80137,            0.018352,            0.043438,           0.0013919,           0.0088318,           0.0088318,           0.0088318
                  61,            0.022262,            0.042263,           0.0030755,             0.99884,             0.99946,               0.995,             0.84244,            0.013847,            0.037392,           0.0014427,            0.008812,            0.008812,            0.008812
                  62,            0.022047,             0.04227,           0.0034672,             0.99815,             0.99943,               0.995,             0.87567,            0.014328,             0.03883,           0.0018225,           0.0087922,           0.0087922,           0.0087922
                  63,            0.022363,              0.0409,           0.0035536,             0.99997,             0.99718,               0.995,             0.83219,            0.013668,            0.037365,           0.0014731,           0.0087724,           0.0087724,           0.0087724
                  64,            0.022477,             0.04262,           0.0027172,             0.99929,             0.99691,               0.995,             0.79353,            0.017957,            0.040096,            0.001111,           0.0087526,           0.0087526,           0.0087526
                  65,             0.02259,            0.041817,           0.0027356,             0.99892,             0.99702,               0.995,             0.88461,             0.01459,              0.0378,           0.0012719,           0.0087328,           0.0087328,           0.0087328
                  66,            0.021191,            0.041238,            0.002643,             0.99917,               0.998,               0.995,             0.80335,            0.016022,            0.042095,           0.0017401,            0.008713,            0.008713,            0.008713
                  67,            0.021439,            0.041216,           0.0036645,             0.99825,                   1,               0.995,             0.85521,            0.015107,            0.037998,           0.0016061,           0.0086932,           0.0086932,           0.0086932
                  68,             0.02181,            0.042116,           0.0031967,             0.99858,             0.99941,               0.995,             0.85414,            0.014521,            0.039276,           0.0011285,           0.0086734,           0.0086734,           0.0086734
                  69,            0.022913,            0.042472,           0.0023217,             0.99643,             0.99505,               0.995,             0.83971,            0.014031,            0.038429,           0.0010614,           0.0086536,           0.0086536,           0.0086536
                  70,            0.022029,            0.042755,           0.0031629,             0.99272,             0.99683,             0.99495,             0.86956,            0.012672,            0.036789,            0.001551,           0.0086338,           0.0086338,           0.0086338
                  71,            0.021283,            0.039415,           0.0032365,             0.99917,             0.99995,               0.995,             0.87587,             0.01178,            0.035706,           0.0016414,            0.008614,            0.008614,            0.008614
                  72,            0.021165,            0.041013,           0.0024725,             0.99935,                   1,               0.995,             0.85467,            0.014027,             0.03788,            0.001192,           0.0085942,           0.0085942,           0.0085942
                  73,            0.020961,            0.040102,           0.0029493,             0.99418,             0.99541,              0.9949,             0.82873,            0.015289,            0.038177,           0.0014498,           0.0085744,           0.0085744,           0.0085744
                  74,            0.021336,            0.040818,            0.003364,              0.9935,             0.99362,             0.99495,             0.85599,            0.015114,            0.039051,           0.0017281,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019827,             0.03882,           0.0035618,             0.99881,             0.99964,               0.995,             0.86719,             0.01189,            0.036194,           0.0013035,           0.0085348,           0.0085348,           0.0085348
                  76,            0.020109,            0.041279,           0.0029241,                   1,             0.99619,               0.995,             0.87547,            0.012092,            0.035217,           0.0012705,            0.008515,            0.008515,            0.008515
                  77,            0.019997,            0.039269,           0.0024719,                   1,             0.99669,               0.995,             0.83248,            0.015505,              0.0378,           0.0013521,           0.0084952,           0.0084952,           0.0084952
                  78,            0.019709,            0.042131,           0.0029033,              0.9994,             0.99908,               0.995,             0.83837,            0.013404,            0.036613,           0.0013286,           0.0084754,           0.0084754,           0.0084754
                  79,            0.019885,            0.039087,           0.0034107,             0.99912,             0.99867,               0.995,             0.76476,            0.014661,            0.036453,           0.0014397,           0.0084556,           0.0084556,           0.0084556
                  80,            0.020376,            0.039254,           0.0028996,             0.99857,             0.99825,               0.995,             0.81568,            0.014702,            0.037605,           0.0012644,           0.0084358,           0.0084358,           0.0084358
                  81,            0.020878,            0.041166,           0.0024092,             0.99865,             0.99878,               0.995,             0.86966,            0.012314,            0.035576,           0.0010681,            0.008416,            0.008416,            0.008416
                  82,            0.020877,            0.039859,           0.0019071,             0.99872,             0.99919,               0.995,             0.87257,            0.012109,            0.036259,          0.00098219,           0.0083962,           0.0083962,           0.0083962
                  83,            0.020612,             0.04336,           0.0028808,             0.99931,             0.99921,               0.995,             0.88503,            0.011303,            0.035484,           0.0014063,           0.0083764,           0.0083764,           0.0083764
                  84,            0.019265,            0.040454,           0.0025145,             0.99914,             0.99927,               0.995,             0.88277,            0.012542,            0.035908,           0.0012183,           0.0083566,           0.0083566,           0.0083566
                  85,            0.020491,            0.040056,           0.0027063,             0.99909,             0.99908,               0.995,             0.88284,            0.012007,            0.035458,           0.0011368,           0.0083368,           0.0083368,           0.0083368
                  86,            0.019982,             0.03907,           0.0028433,             0.99808,             0.99706,               0.995,             0.86945,            0.011015,             0.03429,           0.0015626,            0.008317,            0.008317,            0.008317
                  87,            0.020089,            0.038968,           0.0028198,             0.99837,                   1,               0.995,             0.87636,            0.011475,            0.034588,           0.0013438,           0.0082972,           0.0082972,           0.0082972
                  88,            0.019735,            0.039592,              0.0031,             0.99682,             0.99993,               0.995,             0.87249,            0.011754,             0.03513,            0.001336,           0.0082774,           0.0082774,           0.0082774
                  89,            0.019216,            0.038705,           0.0027266,             0.99916,             0.99893,               0.995,             0.88805,            0.011973,            0.035168,           0.0013436,           0.0082576,           0.0082576,           0.0082576
                  90,            0.019226,            0.040011,            0.003441,              0.9993,              0.9995,               0.995,             0.87314,            0.011802,             0.03511,           0.0014535,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018679,            0.039218,           0.0026283,             0.99746,                   1,               0.995,             0.86441,            0.013061,            0.036922,           0.0013435,            0.008218,            0.008218,            0.008218
                  92,            0.019326,            0.039074,           0.0025016,             0.99675,             0.99956,               0.995,             0.88023,            0.011641,            0.035332,           0.0014258,           0.0081982,           0.0081982,           0.0081982
                  93,            0.019445,            0.039155,           0.0024785,             0.99359,             0.99631,             0.99495,             0.86761,            0.014068,            0.037109,           0.0013446,           0.0081784,           0.0081784,           0.0081784
                  94,             0.01946,            0.038691,           0.0024419,             0.99233,             0.99683,             0.99495,             0.88888,            0.010465,            0.034103,           0.0019678,           0.0081586,           0.0081586,           0.0081586
                  95,            0.018292,            0.038412,           0.0028183,             0.98878,             0.99572,             0.99495,             0.85636,            0.011608,            0.035133,           0.0019107,           0.0081388,           0.0081388,           0.0081388
                  96,            0.018623,             0.03798,           0.0027029,             0.99398,             0.99585,             0.99495,             0.83686,            0.012979,            0.036858,           0.0012475,            0.008119,            0.008119,            0.008119
                  97,            0.019332,            0.041117,           0.0021584,             0.99504,             0.98755,              0.9949,             0.87635,            0.011119,            0.034389,           0.0013902,           0.0080992,           0.0080992,           0.0080992
                  98,            0.019427,            0.038155,           0.0025384,             0.99738,             0.99436,             0.99481,             0.85824,            0.011986,            0.034702,           0.0011689,           0.0080794,           0.0080794,           0.0080794
                  99,            0.019577,            0.040172,           0.0024834,             0.99784,             0.99948,               0.995,              0.8671,            0.011878,            0.034863,          0.00097947,           0.0080596,           0.0080596,           0.0080596
                 100,             0.01912,            0.039082,           0.0023739,             0.99882,             0.99954,               0.995,             0.87618,            0.011788,            0.034485,           0.0010382,           0.0080398,           0.0080398,           0.0080398
                 101,            0.019382,            0.038978,            0.002564,              0.9981,             0.99937,               0.995,             0.87678,            0.011872,            0.034893,            0.001133,             0.00802,             0.00802,             0.00802
                 102,            0.019287,            0.038256,           0.0020743,             0.99768,              0.9945,             0.99495,             0.87371,            0.012058,            0.034634,           0.0011905,           0.0080002,           0.0080002,           0.0080002
                 103,            0.019439,             0.03735,           0.0025514,             0.99858,             0.99945,               0.995,             0.86876,            0.012805,            0.035923,           0.0013546,           0.0079804,           0.0079804,           0.0079804
                 104,            0.019272,            0.038502,           0.0025554,             0.99917,             0.99814,               0.995,             0.88005,            0.011875,            0.035141,           0.0011772,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018902,            0.039269,             0.00261,             0.99876,             0.99938,               0.995,             0.88756,             0.01129,             0.03373,           0.0013754,           0.0079408,           0.0079408,           0.0079408
                 106,            0.019057,            0.037891,           0.0027356,             0.99863,             0.99934,               0.995,             0.84749,            0.013433,             0.03614,           0.0013497,            0.007921,            0.007921,            0.007921
                 107,            0.019011,            0.038396,           0.0023942,             0.99949,                   1,               0.995,             0.87039,            0.012144,            0.034664,          0.00083892,           0.0079012,           0.0079012,           0.0079012
                 108,            0.018626,            0.038464,            0.001971,             0.99944,             0.99941,               0.995,             0.88364,            0.013143,            0.035313,          0.00073528,           0.0078814,           0.0078814,           0.0078814
                 109,             0.01939,            0.039135,           0.0019992,             0.99538,             0.99449,             0.99486,             0.88629,             0.01038,            0.032974,           0.0011806,           0.0078616,           0.0078616,           0.0078616
                 110,            0.018185,            0.036966,           0.0026519,             0.99869,             0.99662,               0.995,             0.86766,            0.011458,            0.034245,           0.0012859,           0.0078418,           0.0078418,           0.0078418
                 111,            0.018466,             0.03774,           0.0022822,             0.99913,             0.99947,               0.995,              0.8726,             0.01098,            0.033588,           0.0009922,            0.007822,            0.007822,            0.007822
                 112,            0.018539,            0.038733,           0.0020605,              0.9992,             0.99764,               0.995,             0.85282,            0.012602,            0.035042,          0.00083942,           0.0078022,           0.0078022,           0.0078022
                 113,            0.018472,            0.037083,           0.0018861,             0.99179,              0.9951,             0.99495,             0.86902,            0.011097,            0.034725,           0.0012443,           0.0077824,           0.0077824,           0.0077824
                 114,            0.019054,            0.038164,           0.0020035,              0.9478,             0.97033,             0.99015,             0.88069,            0.010094,            0.032833,           0.0032986,           0.0077626,           0.0077626,           0.0077626
                 115,            0.018165,            0.037343,           0.0022687,             0.99908,                   1,               0.995,             0.87559,            0.010885,            0.033833,           0.0010256,           0.0077428,           0.0077428,           0.0077428
                 116,            0.018167,            0.037295,           0.0021446,             0.99872,             0.99975,               0.995,             0.87079,             0.01059,            0.032986,          0.00081496,            0.007723,            0.007723,            0.007723
                 117,            0.017758,            0.036221,           0.0022502,             0.99611,             0.99502,              0.9949,             0.86087,            0.012002,            0.035408,            0.001062,           0.0077032,           0.0077032,           0.0077032
                 118,            0.018261,            0.037509,           0.0021073,             0.99422,             0.99926,               0.995,             0.88909,            0.010037,            0.033031,           0.0011277,           0.0076834,           0.0076834,           0.0076834
                 119,            0.016579,            0.036967,           0.0020692,             0.99229,             0.99873,               0.995,             0.88269,            0.011513,            0.034851,           0.0012754,           0.0076636,           0.0076636,           0.0076636
                 120,            0.018006,            0.037821,           0.0029261,              0.9965,                   1,               0.995,             0.88449,            0.010786,            0.033459,           0.0010833,           0.0076438,           0.0076438,           0.0076438
                 121,            0.018053,            0.037573,           0.0022474,             0.99889,             0.99988,               0.995,             0.89228,            0.010635,            0.033459,          0.00066751,            0.007624,            0.007624,            0.007624
                 122,             0.01821,            0.038245,           0.0022718,             0.99933,             0.99965,               0.995,              0.8868,            0.010984,            0.034466,          0.00087454,           0.0076042,           0.0076042,           0.0076042
                 123,            0.017537,            0.037593,           0.0024251,             0.99772,             0.99769,               0.995,             0.89075,            0.010775,            0.033878,          0.00098591,           0.0075844,           0.0075844,           0.0075844
                 124,             0.01672,             0.03767,           0.0023299,              0.9978,              0.9945,             0.99495,             0.89266,            0.010889,            0.033733,           0.0010237,           0.0075646,           0.0075646,           0.0075646
                 125,            0.017329,            0.036953,           0.0023636,             0.99877,             0.99446,             0.99495,             0.87979,            0.010336,            0.033764,          0.00084178,           0.0075448,           0.0075448,           0.0075448
                 126,            0.017029,            0.035983,           0.0021854,             0.99811,             0.99502,             0.99495,              0.8892,            0.010298,            0.033234,           0.0010324,            0.007525,            0.007525,            0.007525
                 127,             0.01643,            0.036179,           0.0023024,               0.999,             0.99448,             0.99495,             0.88509,            0.010791,            0.034138,           0.0010507,           0.0075052,           0.0075052,           0.0075052
                 128,            0.016917,             0.03669,           0.0022322,             0.99698,             0.99951,               0.995,             0.89234,            0.010402,            0.032787,          0.00082619,           0.0074854,           0.0074854,           0.0074854
                 129,            0.016985,            0.036593,           0.0021112,             0.98732,             0.98714,             0.99464,             0.88613,            0.010612,            0.033218,              0.0011,           0.0074656,           0.0074656,           0.0074656
                 130,             0.01781,            0.037034,           0.0018909,              0.9971,             0.99955,               0.995,              0.8863,            0.010897,            0.034595,          0.00076758,           0.0074458,           0.0074458,           0.0074458
                 131,            0.017408,            0.036916,           0.0020562,             0.99168,             0.98614,             0.99481,             0.88181,            0.010858,            0.033417,           0.0015153,            0.007426,            0.007426,            0.007426
                 132,            0.016529,            0.035434,            0.002472,             0.99229,             0.99603,             0.99495,             0.89377,           0.0099548,            0.032669,           0.0015108,           0.0074062,           0.0074062,           0.0074062
                 133,            0.016933,             0.03599,           0.0019564,             0.99832,             0.99929,               0.995,               0.896,           0.0099506,            0.033127,           0.0014714,           0.0073864,           0.0073864,           0.0073864
                 134,            0.017249,            0.036591,           0.0019096,              0.9977,             0.99891,               0.995,             0.88123,            0.010733,            0.033562,          0.00085008,           0.0073666,           0.0073666,           0.0073666
                 135,            0.017352,            0.035704,           0.0020159,             0.99942,             0.99586,               0.995,             0.87515,            0.011415,            0.034584,           0.0010577,           0.0073468,           0.0073468,           0.0073468
                 136,            0.017041,             0.03547,           0.0017808,             0.99901,             0.99909,               0.995,             0.88666,            0.010025,            0.033138,          0.00098927,            0.007327,            0.007327,            0.007327
                 137,            0.017106,            0.035841,           0.0018777,             0.99177,             0.99492,             0.99495,             0.87743,            0.012413,            0.035381,           0.0013512,           0.0073072,           0.0073072,           0.0073072
                 138,            0.017961,            0.037307,           0.0020025,             0.99826,             0.99711,               0.995,             0.90049,            0.010035,            0.032627,           0.0010645,           0.0072874,           0.0072874,           0.0072874
