                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.41772,                0.24559,                0.83171,                0.96075,                0.94894,                0.94921,                0.86809,                0.42617,                0.37102,                0.87162,               0.001185,               0.001185,               0.001185
                     71,                0.42026,                0.24393,                0.83576,                0.96652,                0.95461,                0.95784,                0.87164,                0.41516,                0.34271,                0.86526,              0.0011814,              0.0011814,              0.0011814
                     72,                0.41735,                0.24221,                0.83555,                0.94672,                0.96035,                  0.962,                 0.8803,                0.41387,                0.30442,                0.84628,              0.0011779,              0.0011779,              0.0011779
                     73,                0.41646,                0.24966,                0.83107,                0.95728,                0.94505,                0.94193,                0.85493,                0.43146,                0.32638,                0.84378,              0.0011744,              0.0011744,              0.0011744
                     74,                0.41577,                0.24963,                0.82426,                 0.9613,                0.95421,                0.94499,                0.84854,                  0.461,                0.32718,                0.84971,              0.0011708,              0.0011708,              0.0011708
                     75,                0.42397,                 0.2529,                0.82856,                0.96446,                0.94085,                0.94512,                0.85983,                0.42901,                0.32665,                0.84486,              0.0011673,              0.0011673,              0.0011673
                     76,                0.41183,                0.24429,                0.82764,                0.96314,                0.94775,                 0.9708,                0.87233,                0.43992,                0.31908,                0.82946,              0.0011637,              0.0011637,              0.0011637
                     77,                0.41706,                0.24746,                0.83158,                0.97073,                0.96446,                 0.9701,                0.87693,                0.42883,                0.29665,                0.84351,              0.0011602,              0.0011602,              0.0011602
                     78,                0.41729,                0.24814,                0.83104,                0.97156,                0.96368,                0.97357,                0.88601,                0.42224,                0.29742,                0.81675,              0.0011567,              0.0011567,              0.0011567
                     79,                0.41008,                0.23856,                0.82635,                 0.9686,                0.95342,                0.97582,                0.89099,                0.42229,                0.28245,                0.83058,              0.0011531,              0.0011531,              0.0011531
                     80,                0.41277,                0.23766,                 0.8304,                0.96392,                0.95431,                0.96671,                0.88658,                 0.4193,                 0.3093,                0.83584,              0.0011496,              0.0011496,              0.0011496
                     81,                0.40909,                0.24152,                0.82945,                0.96382,                0.95693,                0.97318,                0.89078,                0.42182,                0.30423,                0.82698,              0.0011461,              0.0011461,              0.0011461
                     82,                0.40721,                 0.2343,                0.83128,                 0.9668,                0.95989,                 0.9711,                0.88649,                0.41448,                0.30654,                0.84992,              0.0011425,              0.0011425,              0.0011425
                     83,                0.40903,                0.24741,                0.83237,                0.96941,                0.95911,                 0.9773,                0.89079,                0.42487,                0.29703,                0.83575,               0.001139,               0.001139,               0.001139
                     84,                0.41474,                0.24052,                0.83129,                0.96606,                0.95956,                0.97543,                0.88775,                0.42273,                0.34185,                 0.8428,              0.0011354,              0.0011354,              0.0011354
                     85,                0.41156,                0.24545,                0.82917,                0.95865,                0.95919,                0.97518,                0.88804,                0.43154,                0.31287,                0.84127,              0.0011319,              0.0011319,              0.0011319
                     86,                0.41105,                0.23234,                 0.8275,                0.96476,                0.96477,                0.96905,                0.88403,                 0.4233,                0.31653,                0.84233,              0.0011284,              0.0011284,              0.0011284
                     87,                0.40719,                0.24255,                0.82746,                0.96753,                0.94434,                0.96682,                0.88766,                 0.4201,                0.32732,                 0.8496,              0.0011248,              0.0011248,              0.0011248
                     88,                 0.4074,                0.23559,                0.83063,                0.97288,                0.96571,                0.98159,                 0.8904,                  0.412,                0.27266,                0.85909,              0.0011213,              0.0011213,              0.0011213
                     89,                0.39866,                0.23442,                0.82899,                0.96885,                0.96515,                0.97528,                0.90178,                0.40006,                0.28672,                0.86412,              0.0011178,              0.0011178,              0.0011178
                     90,                0.41192,                0.24097,                0.83751,                0.96083,                0.95495,                  0.972,                0.89554,                0.40096,                0.30535,                0.86595,              0.0011142,              0.0011142,              0.0011142
                     91,                0.40382,                0.23055,                0.83164,                 0.9792,                0.94434,                0.97683,                0.89475,                0.41053,                0.29146,                0.85585,              0.0011107,              0.0011107,              0.0011107
                     92,                0.40422,                0.23726,                0.82892,                0.96874,                0.96575,                0.95921,                0.87475,                0.43921,                0.30711,                0.85156,              0.0011072,              0.0011072,              0.0011072
